,pendula,pubescens,pendula_pubescens
n sites,2371938.0,2373955.0,2372634.0
Tajima's D,-1.363593440040998,-1.7858012743112113,-1.9244592686227053
pi,3506.3858022758122,14238.308480066513,12927.095324336442
pi per site,0.0014782788598503892,0.00599771624991481,0.005448415273631096
S,39101.0,225531.4246344442,260383.89840901652
FST,0.011920820517137054,0.01107524933559805,0.1951276803104515
FST_0,0.004820370232523383,0.002301943447869904,0.0013816437913583184
