,lnl,theta,T,nu1,nu2,m01,m10
params,-2428.726786789939,3284.4843148332466,0.07156694483843538,995.0359783751395,0.11489155764428338,0.4517647494962343,0.0
std_gim,,392.48531950271365,0.04883472449959389,524.7153030122663,0.015008777231634095,1.2857282236319398,2.682573377214889
