,lnl,theta,T,nu0,s1,nu1,s2,nu2
params,-81.3351895776265,8246.66927435648,0.11273386601095581,0.003655552862343251,0.07610079176128541,0.28826138766538983,0.9947500596548148,683.8324246333433
std_gim,,,,,,,,
