,lnl,theta,T,nu0,s,nu1
params,-106.21504611124686,1120.612302882818,0.3274484800187632,2.3487193968568536,0.0,1.0
std_gim,,,,,,
cis_percentile,"[-122.02015026288608, -92.97503526091047]","[1023.2722248304384, 1228.938966417631]","[0.2733826994954683, 0.391754380463527]","[2.1410603484458948, 2.582941244105528]","[0.0, 0.0]","[1.0, 1.0]"
cis_bca,"[-118.280641049405, -84.59781557178076]","[1024.8205358967962, 1229.8881822686171]","[0.283302026634928, 0.4312379722561018]","[2.1247826302577963, 2.5537009799802024]","[0, 0]","[None, None]"
std_bca,9.50249730439614,67.9329077979568,0.040149321818854326,0.1348655300662808,0.0,0.0
mean_bca,-108.74695774346445,1118.7583630278182,0.32524557705953877,2.370964540518567,0.0,1.0
