,lnl,theta,T,nu0,s1,nu1,s2,nu2
params,-112.48953720664932,1893.8082511289895,0.9664206835317982,0.4058128930692035,0.0624654789749592,907.1855626093522,0.601887169547316,5.549753500034908
std_gim,,,,,,,,
cis_percentile,"[-126.77690257567352, -104.58114365521384]","[1710.9821520969415, 2136.847238436053]","[0.8057717147081953, 0.9985575029386838]","[0.21652550231829, 1.9307518054302968]","[0.0365692203855367, 0.0728746442973198]","[463.0559959019591, 990.0002963646876]","[0.3360938894146614, 0.8961008953809317]","[5.011180941273065, 5.92595605115558]"
cis_bca,"[-121.775412950614, -102.3327414034443]","[1682.5204343861335, 2096.3524786303947]","[0.8306550257121176, 0.998922339975597]","[0.3806145098803601, 84.59204407103203]","[0.0218568701715285, 0.0624654789749592]","[463.0559959019591, 990.0002963646876]","[0.1587241152333691, 0.601887169547316]","[5.213820810297742, 6.062591075007393]"
std_bca,6.816782729050713,120.62533644217935,0.06556511446503037,8.969781525613879,0.012659074188044439,184.15190789449392,0.1485142699618712,0.3180268017762918
mean_bca,-114.37445212582413,1910.928972946318,0.9348862050719114,1.708466267033387,0.05751458860846934,818.5216841961006,0.5743522233360977,5.507021101483868
