,lnl,theta,T,nu0,s1,nu1,s2,nu2
params,-112.48953720664932,1893.8082511289895,0.9664206835317982,0.4058128930692035,0.0624654789749592,907.1855626093522,0.601887169547316,5.549753500034908
std_gim,,,,,,,,
