,lnl,theta,T,nu0,s1,nu1,s2,nu2
params,-117.73315603957802,660796.0914911283,0.06573592809475505,0.011226734480608994,0.05417615405639279,0.0030835334677302997,0.9122863864055388,0.012688124014350105
std_gim,,82094.17283352834,0.014278752994471655,0.005050834008341468,0.0007768689097877369,0.00012875158142787056,0.014050630711021812,0.0008571544396760291
