,lnl,theta,T,nu0,s1,nu1,s2,nu2
params,-117.73315603958038,660796.0914911691,0.06573592809475505,0.011226734480608904,0.05417615405639269,0.003083533467730201,0.9122863864055388,0.012688124014350105
std_gim,,83386.23992225372,0.014721303290976198,0.005210022090407291,0.0007756321704434014,0.00012420563916908952,0.014491475978059037,0.0008769331780647422
cis_percentile,"[-128.48199781725833, -108.560587770109]","[446702.2361325342, 735979.4532867701]","[0.065735928094755, 0.065735928094755]","[0.0052373656436567, 0.0208259996691973]","[0.0386897977691736, 0.1218455997115222]","[0.0027447028671024, 0.0044715803655644]","[0.838957126397524, 0.9214176342595882]","[0.0109132588679203, 0.017996715738095]"
cis_bca,"[-131.01494369805357, -109.58706018518944]","[606825.3973789763, 1006076.583757727]","[None, None]","[0.004483731486946, 0.014064317340168]","[0.0386897977691736, 0.1423266803010609]","[0.0021637934718783, 0.0031537115003013]","[0.8980256281739625, 0.968909210044971]","[0.0117356170578784, 0.0190589089582948]"
std_bca,6.105437723559183,89005.29932083267,1.3947701538996772e-17,0.004142762071675787,0.03485464591477524,0.0005489824870361797,0.04913234243972663,0.0021824489924755493
mean_bca,-118.05250579620342,640520.1843877875,0.06573592809475501,0.01126854722145584,0.06253085292075357,0.0032083528955284017,0.8990535872645533,0.013179564542019555
