,lnl,theta,T,nu11,nu12,s1,s2,nu21,nu22,m01,m10
params,-1859.1354771391573,3266.4662471763404,0.07156694483843538,577.0685251788018,0.007811238270465564,0.3496495298581576,0.10948490976271633,5.076754101309862,37.52923976848265,1.7953983198981023,1.1631381271093841
std_gim,,187.91276750314202,0.014550837782582557,1073.1161693199463,0.0002855826765643309,0.016689967079652507,0.005911401175165128,3.049404554632059,3.2530435818499943,0.30002655647811893,0.09986632647954916
