,lnl,theta,nu0,c,T
params,-87.34787538616465,5400.489800054942,0.0010939843206220889,489.9106031633903,0.20955653810299357
std_gim,,649.4240752513043,0.0002551770829654951,161.48502870242532,0.011666902392719423
