,lnl,theta,T,nu1,nu2,m01,m10
params,-1272.5866382100317,1877.4217313747813,0.9988712301502972,3.373895977412284,0.6470031362070479,1.0755753565719512,0.22463528025044033
std_gim,,150.14279370862016,0.16913991080491617,0.19041286803664587,0.05763393942257163,0.07367779952291348,0.025347882653781524
cis_percentile,"[-1354.786790936933, -1199.7916035659375]","[1731.779023119347, 2056.788055229142]","[0.9874764220203932, 0.9989426196419662]","[3.095202385208529, 3.5288322840801927]","[0.6137049784250613, 0.6846330312614765]","[1.0226094644684958, 1.1437675511388703]","[0.1918024235189775, 0.2593679681917394]"
cis_bca,"[-1342.9176718454214, -1194.4758530916115]","[1731.779023119347, 2056.788055229142]","[0.990913691637876, 0.9989724985165734]","[3.052959112369237, 3.437037449056187]","[0.6016855483161307, 0.6573631817225133]","[0.9527620774283704, 1.0755753565719512]","[0.1560519903545034, 0.22746837029019]"
std_bca,50.12005514921977,96.9629114366144,0.004372885502946567,0.12594764502920336,0.020396899624801155,0.04536885913280077,0.018818251587600237
mean_bca,-1280.0116687324464,1883.8233276987046,0.9964887082326223,3.3364821710050556,0.6465983941401845,1.0857619883168057,0.22206246906336932
