,lnl,theta,T,nu11,nu12,s1,s2,nu21,nu22,m
params,-2047.748582082694,3239.242223716963,0.07156694483843538,646.7590621845509,45.41544698880428,0.10871509683593289,0.0195335830942323,961.2935771296025,0.001572361495022373,0.0
std_gim,,,,,,,,,,
