,lnl,theta,T,nu11,nu12,s1,s2,nu21,nu22,m
params,-2047.748582075338,3239.242223720197,0.07156694483843538,646.7590621845509,45.41544698880428,0.10871509683593279,0.0195335830942323,961.2935771296025,0.0015723614950223003,0.0
std_gim,,,,,,,,,,
cis_percentile,"[-2212.402880866247, -1941.6911824908184]","[3032.902769391428, 3497.856197138984]","[0.0715669448384353, 0.0715669448384353]","[646.7928127209793, 990.0404403404456]","[30.17974304546468, 64.64768106104636]","[0.0599334356435911, 0.2947917568340872]","[0.0095413936206881, 0.0536131829688626]","[832.7634435581485, 996.1192245188032]","[0.0011268983157942, 0.0025481996721103]","[0.0, 0.0]"
cis_bca,"[-2171.9333438212657, -1938.0285126169972]","[3048.512195743637, 3526.2849647664675]","[None, None]","[646.7873396966531, 646.7873396966531]","[32.319338560432385, 65.78433281290151]","[0.1008709372367216, 0.4369080854379042]","[0.006974286663197, 0.0250716873728096]","[657.7052072301703, 961.352376761055]","[0.0010722521397287, 0.0023427214849646]","[0, 0]"
std_bca,84.97764712106175,151.98154852110403,1.3947701538996772e-17,150.17834761654646,10.238285068494802,0.06987474731251905,0.017084129404748297,65.25159284066883,0.0003916810052378454,0.0
mean_bca,-2063.910537092246,3246.817840934054,0.07156694483843531,798.4046802672833,45.16273428146152,0.1364228946376782,0.02319018166666825,952.8614361532289,0.0016584474860109827,0.0
