,lnl,theta,nu0,c,T
params,-90.05602013700718,7593.426697926448,0.0010008532031134999,350.2918745356511,0.169154113140843
std_gim,,3472.420837135369,0.0001784522172177718,130.03674634447995,0.04824962941731188
