,pendula,pubescens,pendula_pubescens
n sites,2438168.0,2440750.0,2439206.0
Tajima's D,-1.3421497876824775,-1.6714770893730868,-1.9292175763119528
pi,3608.5640881094064,14235.117874090478,9617.028245497238
pi per site,0.0014800309445901212,0.0058322719959399685,0.003942688008104784
S,39761.0,207171.0,194580.0
FST,0.011870397161001495,0.007907123566146645,0.18302256803336492
FST_0,0.0048203702325233825,0.002301943447869906,0.0013816437913583182
