,lnl,theta,T,nu11,nu12,s1,s2,nu21,nu22,m
params,-1219.9239403230958,1955.8537042573585,0.8087571900188022,3.8608565503185535,0.2046810117585885,0.3673861803270305,0.7468223593078649,0.9742753040437482,3.27012269902837,0.7235956451143088
std_gim,,107.76175721102005,0.07867000454038174,4.21842177234563,0.008782573360617565,0.5649963924178171,0.020585930259610183,1.141468008531919,0.18042663222993297,0.027656929335137175
cis_percentile,"[-1305.781019234721, -1146.6278980238783]","[1801.794139169766, 2139.48346076003]","[0.7288485556653893, 0.9342910287511496]","[1.694071118794801, 4.016807402218796]","[0.1425546863814871, 0.2159170939004415]","[0.2281009012996573, 0.7668595786476301]","[0.6320257759152794, 0.7798391415099241]","[0.9479464744120456, 2.3747322237854624]","[3.0553352204367776, 4.5182128438617895]","[0.6850746647748761, 0.795045193687964]"
cis_bca,"[-1294.413784612272, -1140.657082576079]","[1781.0170275955595, 2116.004298001972]","[0.7260362706276001, 0.931952861479592]","[3.1286057639015934, 13.610548617349078]","[0.2013990026335977, 0.2420294667852534]","[0.0536090887431971, 0.4776468220984228]","[0.7339637022260627, 0.7974112179915203]","[0.2884643230607898, 1.1320466103046896]","[2.9557717236442147, 3.597876710767791]","[0.6690384386867497, 0.7866477596401832]"
std_bca,46.45266398133392,108.68815068776766,0.058207940241305114,1.4203158505446443,0.025779236342753503,0.14956412768846064,0.045230276307988836,0.5280828136654284,0.5515037682650661,0.03256109094526639
mean_bca,-1227.1167416753776,1973.8975071089967,0.8184409597036119,3.2292628883512924,0.1923653684513972,0.40442909129042465,0.7262863490175152,1.3640884230231154,3.511258243234588,0.7345186803724113
