,lnl,theta,T,nu11,nu12,s1,s2,nu21,nu22,m
params,-1220.0235561530628,1951.0825970905291,0.813638042439914,3.872479043409057,0.20786075114236127,0.3671522774741681,0.7547622718246471,0.9730057119143367,3.2719900497619574,0.7279499968541623
std_gim,,127.53738331490558,0.088925083791906,1.148274949309617,0.04252070974168451,0.1368728047110909,0.06908043232088007,0.28827066661317047,0.4571857529253341,0.033721746284877736
