,lnl,theta,T,nu1,nu2,m
params,-2255.4704998775464,2545.070914497882,0.2366051099202736,4.9956883865803645,0.428545696510789,0.0
std_gim,,2194.7907946937967,0.8116643273048259,7.14227874531281,0.5454354656571739,2.189045531405016
