,lnl,theta,nu0,e,T
params,-117.39770306416361,82366.93510331458,0.0032616045627515008,38.63598915481635,0.06573592809475505
std_gim,,13037.79142689096,0.00037764098198926323,2.6426483069926103,0.006587945260263613
