,lnl,theta,T,nu0,s,nu1
params,-112.72525374943702,1912.773937460599,0.7709983261842365,374.9709920802303,0.4581729261580758,0.014630757191240506
std_gim,,,,,,
cis_percentile,"[-124.06258981509804, -103.49773876059253]","[1771.3534996162423, 2134.1753592610708]","[0.6558586639440628, 0.8994857211588084]","[217.18928407147988, 691.8764248265152]","[0.202727549330251, 0.99]","[0.0083015854173812, 0.0249377629636637]"
cis_bca,"[-122.46713574965553, -100.14369926105994]","[1775.7155515912864, 2147.512377955946]","[0.657295109953331, 0.899876591080942]","[250.38343138319044, 739.6538780350011]","[0.1259566028509616, 0.6878530587690402]","[0.0085490671944661, 0.029252969513956]"
std_bca,6.268843893393079,116.78463534859259,0.07418876452857026,132.42766841706333,0.21947917885052812,0.0051239596715356266
mean_bca,-113.81476929253162,1918.7634005578416,0.7710336391877517,405.02588573474196,0.5035739113894593,0.015077553287657426
