,lnl,theta,T,nu0,s,nu1
params,-117.73320664582526,748659.0422221317,0.06573592809475505,0.002722497464300301,0.973194359092925,4.109538204019938
std_gim,,57366.605723956265,0.011500078795917308,0.0005513732038517816,0.0047298190605517786,0.2191033165464779
