,lnl,theta,T,nu11,nu12,s1,s2,nu21,nu22,m01,m10
params,-1081.1148531505648,2028.7966048949015,0.9987556842621326,0.6079824323794432,0.3727333232817329,0.3537281845579233,0.8269556947569819,6.24908711007103,2.5046584696250846,1.1473569290073051,0.3105140961004433
std_gim,,111.67770490860309,0.07901651587720744,0.03287830133259676,0.06999038555636673,0.1802820616941606,0.2258698245704023,0.4164202837985169,0.49703091855736814,0.1358624895510877,0.10522668713264322
cis_percentile,"[-1136.088528993829, -1037.157044519348]","[1914.302105009789, 2236.991076276601]","[0.987442078231346, 0.9988221489482072]","[0.3428038557884711, 0.6079824323794432]","[0.3533429013434072, 0.3980490757114149]","[0.2982373956918997, 0.3564856265149739]","[0.7969295288950452, 0.8584067017062886]","[6.020808354806777, 10.414802421160038]","[2.398030462940129, 2.562576640934409]","[1.0959436743725983, 1.2411313126664636]","[0.2896622679099893, 0.3165838104630111]"
cis_bca,"[-1123.459004238698, -982.4240120295738]","[1914.302105009789, 2236.991076276601]","[0.9495601581059876, 0.9987556842621326]","[0.3242332269106626, 0.6079824323794432]","[0.284683517000507, 0.3727333232817329]","[0.1838219402284999, 0.3537281845579233]","[0.7351490765542307, 0.8269556947569819]","[1.6925315969339838, 6.24908711007103]","[2.308304918083109, 2.5046584696250846]","[1.0390981163935027, 1.1473569290073051]","[0.2454024888951913, 0.3105140961004433]"
std_bca,33.277396773846576,103.87710666357184,0.03132180313677545,0.19694681168996828,0.01708003240210898,0.04211169153644222,0.018803454829718198,1.8601934911380407,0.09613882713344617,0.03727978127252008,0.015579925781526083
mean_bca,-1091.2910537635646,2048.1783533882394,0.9928945197231187,0.5907885962124628,0.3711362422070619,0.349336974229718,0.8293132989905146,6.641760324217975,2.4967670115398533,1.1456589900555971,0.3071439610138521
