,lnl,theta,T,nu1,nu2,m
params,-1430.8733726006562,1844.5882961895222,0.8980844698636944,3.9189400365080274,0.4676135210306841,0.694843556568313
std_gim,,90.43772824099008,0.021662622568856114,0.14577648710425192,0.021528467390733493,0.016950789052166387
