,lnl,theta,nu0,c,T
params,-112.72525533101546,1912.824479247611,793.2241303881007,0.0069159116475070994,0.770964349926841
std_gim,,105.02019027331633,18.559438860625008,0.00016181484477707526,0.0713748574083455
