,lnl,theta,T,nu0,s1,nu1,s2,nu2
params,-81.60167509745347,5562.1599765600295,0.169154113140843,0.008022862146320064,0.0929423659437538,0.42683533384905037,0.9314386944148894,348.94490634603136
std_gim,,,,,,,,
