,lnl,theta,nu0,e,T
params,-91.91500442215835,46348.05865673907,0.0026592331374824304,25.774797981402767,0.043626206050771214
std_gim,,5367.296264864017,0.0002482490752229944,3.293363539827614,0.003145964845240659
