,lnl,theta,T,nu1,nu2,m01,m10
params,-1984.331732987253,2235.296598107695,0.3982463195171217,4.474365016148316,0.3504500781174793,0.0,1.0751019868637144
std_gim,,4987.098617204357,2.6861498482229775,0.4677891387844509,1.4011520740824785,3.0463190076351903,4.910409913940555
