,lnl,theta,T,nu1,nu2,m
params,-2366.763344832228,3224.465361669668,0.07156694483843538,43751.094837685974,0.1076973138524959,0.0
std_gim,,234.44991157401583,0.012880829347246488,12685.782282024824,0.03496469287145527,0.5248518029486783
