,lnl,theta,T,nu0,s,nu1
params,-81.40022598437722,5205.550911357293,0.169154113140843,0.0012969561449983,0.014276760622483398,350.9664119023302
std_gim,,464.45959901768856,0.0008958566459522624,3.070988444869231e-05,0.00033579779344094113,26.381341961482264
cis_percentile,"[-90.9728138713148, -75.8128176540153]","[4678.171752216886, 5813.719662405735]","[0.169154113140843, 0.169154113140843]","[0.0010899530553687, 0.0017670890402401]","[0.0119247938086641, 0.0196560050014702]","[249.45217415354, 436.5015538843015]"
cis_bca,"[-88.46186522065909, -74.01547236099242]","[4691.620280028076, 5814.4871236977815]","[None, None]","[0.0011002449840993, 0.0023933996773029]","[0.0141193562246541, 0.0307371179223653]","[200.50295975429876, 396.1473955655732]"
std_bca,4.957026570764948,326.03292601211234,8.368620923398064e-17,0.0002499460485718221,0.002634722944929989,50.865267795521596
mean_bca,-82.9722931161574,5213.900425038274,0.16915411314084292,0.001322425029614445,0.014519358284812019,354.6598266298242
