,lnl,theta,nu0,e,T
params,-112.72525000619744,1912.946749665773,236.07843715135655,0.0232389751928463,0.7707644817120054
std_gim,,112.05029550494733,6.251677603326424,0.0006153995859270454,0.07332182337526547
