,lnl,theta,T,nu1,nu2,m01,m10
params,-2347.077470312496,3298.849730658246,0.07156694483843538,998.4503405662465,0.0926013847056065,0.5340294905020064,1.8799712617904365
std_gim,,319.02751670588884,0.032867605558226605,510.7939929396894,0.024010119418083137,0.7396842853888029,0.34733466461037504
cis_percentile,"[-2500.2219463176143, -2213.029753527673]","[3043.74352326587, 3571.709345363304]","[0.0715669448384353, 0.0715669448384353]","[962.5225508058484, 998.4503405662464]","[0.0843800330922233, 0.0926013847056065]","[0.4609098000234429, 0.7254577068999258]","[1.8799712617904365, 1.990356660858396]"
cis_bca,"[-2463.311346948204, -2204.6647475722543]","[3025.8756002392856, 3564.059302513513]","[None, None]","[854.6143727024983, 998.4503405662464]","[0.0806868026514638, 0.0926013847056065]","[0.2333508662529721, 0.5340294905020064]","[1.641533180859537, 1.8799712617904365]"
std_bca,95.29239445455822,166.21363218351075,1.3947701538996772e-17,18.06768078276599,0.002907709132555711,0.10972709752481445,0.04698138332995809
mean_bca,-2355.424442333005,3299.2004963114455,0.07156694483843531,993.1668177088818,0.09135024731409969,0.5407068859135609,1.8873887134933276
