,lnl,theta,T,nu1,nu2,m
params,-2369.1669491911252,3352.575149352856,0.07156694483843538,993.1611269928404,0.0879196945150449,1.537559078946711
std_gim,,356.04127790616974,0.03557267989364107,488.51365441423485,0.02945948064212388,0.17814868456564717
